지역3|region|서울 지역|Seoul region|농촌 지역|rural area
이거1|this|이거 뭐예요|what is this|이거 주세요|please give me this
태권도|taekwondo|태권도 수업|taekwondo class|태권도를 배우다|to learn taekwondo
이후2|after|그 이후|after that|졸업 이후|after graduation
방7|room|내 방|my room|방을 청소하다|to clean the room
늦다|to be late|늦게 일어나다|to wake up late|시간이 늦다|time is late
밥1|rice|밥을 먹다|to eat rice|밥을 짓다|to cook rice
떠나다|to leave|집을 떠나다|to leave home|여행을 떠나다|to go on a trip
민박하다|to stay at a guesthouse|민박을 하다|to stay at a guesthouse|시골에서 민박하다|to stay at a rural guesthouse
혹시1|by any chance|혹시 모르니까|just in case|혹시 시간 있어요?|do you happen to have time?
그래1|yes|그래, 맞아|yes, that's right|그래, 좋아|yes, good
은행2|bank|은행에 가다|to go to the bank|은행 계좌|bank account
느끼다2|to feel|추위를 느끼다|to feel cold|기쁨을 느끼다|to feel joy
아름답다|to be beautiful|아름다운 꽃|beautiful flower|아름답게 꾸미다|to decorate beautifully
한국말|Korean language|한국말을 배우다|to learn Korean|한국말로 말하다|to speak in Korean
직접|directly|직접 만나다|to meet directly|직접 가다|to go directly
입|mouth|입을 열다|to open one's mouth|입이 마르다|mouth is dry
신다|to wear|신발을 신다|to wear shoes|양말을 신다|to wear socks
해보다|to try|한번 해보다|to try once|요리해보다|to try cooking
영화1|movie|영화를 보다|to watch a movie|영화관에 가다|to go to the cinema
브라질|Brazil|브라질 사람|Brazilian person|브라질에 가다|to go to Brazil
중국|China|중국 음식|Chinese food|중국어를 배우다|to learn Chinese
필요|necessity|필요한 물건|necessary items|필요에 따라|according to need
데이트하다|to date|남친과 데이트하다|to date boyfriend|처음 데이트하다|to go on a first date
대표|representative|회사 대표|company representative|대표로 선출되다|to be elected as representative
하늘1|sky|파란 하늘|blue sky|하늘을 보다|to look at the sky
주무시다|to sleep|잘 주무세요|sleep well|편히 주무시다|to sleep comfortably
옆|side|옆에 앉다|to sit beside|옆 사람|person next to
정말1|really|정말 좋아요|really good|정말 그래요?|really?
미터2|meter|몇 미터|how many meters|10미터 거리|10 meter distance
하루1|day|하루 종일|all day long|하루에 한 번|once a day
네3|yes|네, 알겠습니다|yes, I understand|네, 맞아요|yes, that's right
지도3|map|세계 지도|world map|지도를 보다|to look at a map
재밌다|to be fun|재밌는 영화|fun movie|정말 재밌다|really fun
그림1|picture|그림을 그리다|to draw a picture|예쁜 그림|pretty picture
케이크|cake|생일 케이크|birthday cake|케이크를 만들다|to make a cake
정부8|government|한국 정부|Korean government|정부 정책|government policy
마시다|to drink|물을 마시다|to drink water|커피를 마시다|to drink coffee
거울1|mirror|거울을 보다|to look in the mirror|화장실 거울|bathroom mirror
현재2|currently|현재 상황|current situation|현재 살고 있다|currently living
치다2|to hit|얼굴을 치다|to hit the face|공을 치다|to hit a ball
테니스장|tennis court|테니스장에서 치다|to play at the tennis court|실내 테니스장|indoor tennis court
사랑하다|to love|가족을 사랑하다|to love family|서로 사랑하다|to love each other
술1|alcohol|술을 마시다|to drink alcohol|술을 끊다|to quit drinking
피다1|to bloom|꽃이 피다|flowers bloom|벚꽃이 피다|cherry blossoms bloom
결국|result|좋은 결국|good result|나쁜 결국|bad result
사랑1|love|첫사랑|first love|진정한 사랑|true love
샌드위치|sandwich|햄 샌드위치|ham sandwich|샌드위치를 만들다|to make a sandwich
새롭다|to be new|새로운 경험|new experience|새롭게 시작하다|to start anew
돌아오다|to come back|집에 돌아오다|to come back home|늦게 돌아오다|to come back late
개3|dog|귀여운 개|cute dog|개를 키우다|to raise a dog
의원5|member of parliament|국회 의원|member of parliament|의원 선거|parliamentary election
커피|coffee|아침 커피|morning coffee|커피를 타다|to make coffee
천1|cloth|면 천|cotton cloth|천으로 만들다|to make with cloth
목소리|voice|큰 목소리|loud voice|목소리가 좋다|to have a good voice
가슴1|chest|가슴이 아프다|chest hurts|가슴을 펴다|to puff out one's chest
숙제3|homework|숙제를 하다|to do homework|숙제가 많다|there's a lot of homework
특히|especially|특히 좋아하다|to especially like|특히 중요하다|to be especially important
길다2|to be long|밤이 길다|the night is long|시간이 길다|time is long
학기가|semester|새 학기가 시작되다|new semester starts|학기가 끝나다|semester ends
호응|response|좋은 호응|good response|호응을 얻다|to get a response
회사4|company|회사에 다니다|to work at a company|회사 생활|company life
시키다1|to make do|일을 시키다|to make someone work|주문을 시키다|to place an order
너희|you guys|너희들은|you guys|너희 집|your house
맛1|taste|맛이 좋다|tastes good|맛을 보다|to taste
피우다1|to smoke|담배를 피우다|to smoke cigarettes|불을 피우다|to light a fire
제품2|product|새로운 제품|new product|제품을 만들다|to make a product
매우1|very|매우 좋다|very good|매우 중요하다|very important
카드|card|신용카드|credit card|카드로 결제하다|to pay by card
올라가다|to go up|위로 올라가다|to go up|가격이 올라가다|price goes up
오르다|to rise|산에 오르다|to climb a mountain|온도가 오르다|temperature rises
눈이|snow|눈이 오다|snow falls|눈이 많다|there's a lot of snow
귀엽다|to be cute|아기가 귀엽다|baby is cute|귀여운 강아지|cute puppy
꼭3|definitely|꼭 해야 한다|must definitely do|꼭 필요하다|definitely necessary
게스트하우스|guesthouse|게스트하우스에 머물다|to stay at a guesthouse|저렴한 게스트하우스|cheap guesthouse
순간3|moment|그 순간|that moment|순간적으로|momentarily
계획1|plan|여행 계획|travel plan|계획을 세우다|to make a plan
저녁|evening|저녁 시간|evening time|저녁을 먹다|to eat dinner
가족1|family|우리 가족|our family|가족과 함께|together with family
아내1|wife|내 아내|my wife|아내와 함께|together with wife
크림빵|cream bread|크림빵을 먹다|to eat cream bread|달콤한 크림빵|sweet cream bread
싫다1|to dislike|공부가 싫다|to dislike studying|싫어하는 음식|food I dislike
세1|years old|세 살|three years old|다섯 세|five years old
빌리다|to borrow|책을 빌리다|to borrow a book|돈을 빌리다|to borrow money
미안하다|to be sorry|정말 미안하다|really sorry|미안한 마음|apologetic feeling
차6|car|새 차|new car|차를 운전하다|to drive a car
게임하다|to play games|컴퓨터 게임하다|to play computer games|친구와 게임하다|to play games with friends
당시2|at that time|당시 상황|the situation at that time|당시에는|at that time
놀다1|to play|친구와 놀다|to play with friends|공원에서 놀다|to play in the park
어린이1|child|어린이 놀이터|children's playground|어린이를 위한|for children
도시3|city|큰 도시|big city|도시 생활|city life
여기저기|here and there|여기저기 다니다|to go here and there|여기저기 찾다|to look here and there
열심히|diligently|열심히 공부하다|to study diligently|열심히 일하다|to work hard
나이1|age|나이가 많다|to be old|나이를 묻다|to ask one's age
날씨1|weather|좋은 날씨|good weather|날씨가 춥다|the weather is cold
살짝1|slightly|살짝 열다|to open slightly|살짝 만지다|to touch lightly
배우다1|to learn|한국어를 배우다|to learn Korean|새로운 것을 배우다|to learn something new
실례지만|excuse me|실례지만 질문이|excuse me, I have a question|실례지만 시간이|excuse me, what time
잠깐|a moment|잠깐만 기다려|wait a moment|잠깐 시간 있어|do you have a moment
어2|oh|어, 정말|oh, really|어, 그래|oh, I see
빨래하다|to do laundry|빨래를 하다|to do the laundry|빨래가 많다|there's a lot of laundry
돌아가다|to go back|집에 돌아가다|to go back home|고향에 돌아가다|to return to hometown
그럼1|then|그럼 안녕|then goodbye|그럼 내일|then tomorrow
내년|next year|내년 계획|next year's plan|내년에 만나자|let's meet next year
스물(스무)|twenty|스무 살|twenty years old|스무 개|twenty pieces
지키다1|to keep|약속을 지키다|to keep a promise|규칙을 지키다|to follow rules
저4|that|저 사람|that person|저 건물|that building
문5|door|문을 열다|to open the door|문을 닫다|to close the door
확인하다|to confirm|시간을 확인하다|to check the time|예약을 확인하다|to confirm a reservation
배2|ship|배를 띄우다|to launch a ship|배로 여행하다|to travel by ship
토요일|Saturday|토요일 오후|Saturday afternoon|토요일에 만나다|to meet on Saturday
고개1|head|고개를 돌리다|to turn one's head|고개를 끄덕이다|to nod one's head
산1|mountain|높은 산|high mountain|산에 오르다|to climb a mountain
학기2|semester|새 학기|new semester|학기가 시작되다|semester begins
억4|hundred million|일억 원|one hundred million won|억대 부자|billionaire
새6|new|새 옷|new clothes|새로운 시작|new beginning
여덟|eight|여덟 시|eight o'clock|여덟 개|eight pieces
뜻|meaning|단어의 뜻|meaning of a word|좋은 뜻|good intention
하지만|but|하지만 괜찮아요|but it's okay|하지만 어려워요|but it's difficult
누굴|whom|누굴 만났어요|whom did you meet|누굴 찾아요|whom are you looking for
항상|always|항상 바쁘다|always busy|항상 감사해요|always grateful
그동안|meanwhile|그동안 잘 지냈어요|I've been well meanwhile|그동안 고생했어요|you worked hard meanwhile
여행2|travel|해외 여행|overseas travel|여행을 가다|to go on a trip
기억2|memory|좋은 기억|good memory|기억이 나다|to remember
갑자기|suddenly|갑자기 비가 오다|suddenly it rains|갑자기 생각나다|suddenly remember
지난달|last month|지난달에 만났어요|met last month|지난달 일|last month's work
안녕|hello|안녕하세요|hello|안녕히 가세요|goodbye
공부1|study|한국어 공부|Korean study|공부를 하다|to study
판1|round|마지막 판|final round|한 판 더|one more round
후보4|candidate|대통령 후보|presidential candidate|후보를 선택하다|to choose a candidate
분1|minute|한 분|one minute|몇 분|a few minutes
축하하다|to congratulate|생일을 축하하다|to congratulate on birthday|축하해 주세요|please congratulate me
무섭다|to be scary|무서운 영화|scary movie|무서워하다|to be afraid
불1|fire|불을 켜다|to turn on the light|불이 나다|a fire breaks out
끄다1|to turn off|불을 끄다|to turn off the light|텔레비전을 끄다|to turn off the TV
잠시|briefly|잠시만요|just a moment|잠시 기다리다|to wait briefly
학년|grade|몇 학년|what grade|새 학년|new school year
한식4|Korean food|한식 레스토랑|Korean restaurant|한식을 먹다|to eat Korean food
